blogger_id;username;followers;follows;posts_count;is_verified;business_category_name;comments_count;liked_by;media_preview_like
5425932310;polyaizderevki;1753156;58;159;False;General Interest;87.5;11857.0;11857.0
208429586;sofiyabroyan;2172401;279;4056;False;Creators & Celebrities;2.0;91.0;91.0
4179324631;lazarev94;111195;109;472;False;None;32.0;4457.0;4457.0
436618920;houusse;865983;494;1059;False;Creators & Celebrities;242.0;44787.0;44787.0
301197247;kozheed;307296;57;1263;False;Creators & Celebrities;28.0;7077.0;7077.0
3536276838;iskrenochka_jizn;454855;20;661;False;Creators & Celebrities;204.5;39618.5;39618.5
1098513252;karinakross;3155271;83;491;False;Creators & Celebrities;545.0;98175.0;98175.0
6076818;ira_blanc;169185;349;1536;False;Creators & Celebrities;5.0;829.0;829.0
8883654;svetlusya;623201;123;307;False;Creators & Celebrities;517.0;32025.5;32025.5
1361352231;madam_papaya;301482;69;208;False;Creators & Celebrities;27.0;3459.0;3459.0
10725416396;maxalro;2037;0;0;False;Creators & Celebrities;4.0;232.0;232.0
8372069527;anokhina_elizabeth_2007;1581964;186;171;False;Creators & Celebrities;1113.0;85889.0;85889.0
1717035833;ohtioma;128500;794;69;False;Creators & Celebrities;27.0;6067.0;6067.0
173902682;sychevskaya;588806;127;2354;False;Local Events;2.0;73.0;73.0
457828375;madam_kaka;1689276;239;736;True;Creators & Celebrities;240.0;58635.0;58635.0
1338246453;mikhail_litvin;6002720;279;458;False;Creators & Celebrities;20.0;6618.5;6618.5
476671021;klavacoca;1792085;207;1749;True;Creators & Celebrities;183.5;30791.5;30791.5
352318531;subo_m;2703676;315;137;False;None;926.5;56510.0;56510.0
289931633;katyushka_tyan;268734;253;2250;False;Creators & Celebrities;7.0;726.0;726.0
4179564539;maevamasha;488512;186;296;False;Creators & Celebrities;94.5;24000.5;24000.5
511948157;manukian_twins;145943;564;619;False;Creators & Celebrities;117.5;8132.5;8132.5
288645587;aida.offi;641780;210;887;True;Creators & Celebrities;94.0;20272.0;20272.0
178925823;vdavankova;76108;522;1214;False;Creators & Celebrities;3.0;215.0;215.0
1407016403;bers_review;306102;192;747;False;Creators & Celebrities;84.0;5336.0;5336.0
292681556;steveprinceofficial;134663;168;447;False;Creators & Celebrities;23.0;4336.5;4336.5
1364496636;banana_kris;32521;276;52;False;Creators & Celebrities;38.0;2984.0;2984.0
5637203481;shteps_s;1575087;27;266;False;Creators & Celebrities;1453.0;106422.5;106422.5
5324294112;zhanna.radova;81256;198;450;False;Creators & Celebrities;39.0;3016.0;3016.0
1359135567;_ellidi;1677506;6;1330;False;Creators & Celebrities;156.5;16276.0;16276.0
258277736;raminalalala;147777;455;1997;False;Creators & Celebrities;20.0;3611.5;3611.5
257557279;vasilina_kat;1156540;80;1029;False;Publishers;30.0;5809.0;5809.0
210772080;13kaii;246221;709;34;False;Creators & Celebrities;110.0;13235.0;13235.0
465036214;exile_music;286442;438;80;False;Local Events;118.0;16496.0;16496.0
3174785729;tatarkafm;3448016;197;462;False;General Interest;458.5;93693.0;93693.0
3154421545;love_is_top;1984968;35;605;False;Home Services;456.0;56401.0;56401.0
4834479500;yulian_tv;155938;293;122;False;Creators & Celebrities;101.5;12954.5;12954.5
1582199718;alenarapay;215356;947;1493;False;Creators & Celebrities;16.0;476.0;476.0
290050512;niknayse;28142;99;441;False;Creators & Celebrities;4.0;924.0;924.0
3571499229;leomalikov;1495468;35;104;False;Content & Apps;953.0;92686.0;92686.0
1590570640;_wengallbi_;1259217;44;113;False;None;29233.5;108236.0;108236.0
1700743098;shevchuk_misha;86115;220;310;False;Creators & Celebrities;12.0;4012.0;4012.0
4709297460;milanka_ts;770;267;86;False;Creators & Celebrities;15.0;750.0;750.0
